Subject,Question,Answer
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Pra quê serve a visita in loco?,"Após a verificação das condições de oferta do curso (presencial ou a distância), o órgão que regula e supervisiona as IES no âmbito do sistema federal de ensino, o Ministério da Educação (MEC), atesta a qualidade do funcionamento, o que possibilita à Instituições de Educação Superior (IES) a obtenção dos atos regulatórios (Autorização, Reconhecimento e/ou Renovação de Reconhecimento). O Reconhecimento e/ou Renovação de Reconhecimento são condições para oferta de novas vagas e expedição de diplomas.Já para Instituições, a visita ocorre para Credenciamento e Recredenciamento Institucional."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Como saber se meu curso passa por visita in loco?,"Para atos regulatórios de autorização e reconhecimento de cursos – a IES tem autonomia para abrir processos para cursos presenciais (autorização), sendo que o pedido de reconhecimento junto ao Ministério da Educação (MEC) deve ocorrer quando o curso tiver completado 50% de realização do currículo (há um calendário anual para isso).
 
Para os atos regulatórios de renovação de reconhecimento – o processo é aberto de ofício pelo próprio órgão que regula e supervisiona as IES no âmbito do sistema federal de ensino, o Ministério da Educação (MEC). Se o curso é do ciclo do Enade (I, II ou III), realizou a avaliação no ano anterior e obteve conceito Conceito Preliminar de Curso (CPC) menor que “3” ou ficou sem Conceito (SC), ele obrigatoriamente deverá passar por processo de avaliação in loco por especialistas do Inep.Se o curso não pertence ao ciclo do Enade, ele recebe visita periodicamente a cada triênio ou a quando o ato regulatório (portaria do MEC) esteja com período de vigência (que é de 3 anos) se encerrando. Daí, o sistema abre processo de ofício."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Qual é o trâmite do processo que leva à visita in loco?,"A atividade de avaliação terá início a partir da tramitação eletrônica do processo, com a criação de um código de processo de avaliação, e concluirá com a disponibilização do relatório de avaliação para manifestação das instituições avaliadas e da secretaria competente do Ministério da Educação (MEC). O fluxo avaliativo regular dar-se-á na seguinte sequência:
 
I - criação da avaliação e respectivo código (SERES); II - abertura do Formulário Eletrônico (FE) de avaliação com numeração de processo - Fase 1 (60 dias para preenchimento pelo Curso); III - preenchimento do Formulário Eletrônico (FE) de avaliação com os itens do Instrumento de Avaliação de Cursos de Graduação, com um código Inep da avaliação – Fase 2 (15 dias para preenchimento pelo curso);IV - designação da Comissão Avaliadora (2 avaliadores designados pelo Inep); V - realização da avaliação in loco (realizada em 4 dias, sendo o primeiro e o último para descolamento e os dois dias do meio para a visita em si);VI - elaboração do relatório de avaliação (pelos avaliadores) que têm até 5 dias úteis para disponibilizar o relatório no Sistema e-MEC (sistema eletrônico de acompanhamento dos processos que regulam a educação superior no Brasil) ; e VII - após a visita in loco, o(a) coordenador(a) do curso deverá avaliar a comissão que avaliou o curso – essa avaliação é sigilosa e os avaliadores apenas têm acesso após a entrega do relatório de atividades. (esta avaliação de avaliadores deve ocorrer no último dia da visita – e enviada ao Este endereço de email está sendo protegido de spambots. Você precisa do JavaScript ativado para vê-lo., para que os técnicos do DEG informem ao Inep)VIII - finalização da avaliação com o envio do relatório (via e-MEC) para manifestação da instituição avaliada e da Secretaria competente do Ministério da Educação. (A IES tem até 30 dias para se manifestar homologando ou não).
OBS - caso haja impugnação por parte do curso avaliado, o processo irá para CTAA como recurso, podendo alterar o conceito atribuído ao indicador do FE-2, para cima ou para baixo, e, incubindo na realização de uma nova visita in loco, se for o caso. *Nesse caso de impugnação, o ato de regulação (portaria) vigente fica válido até a publicação da portaria subsequente – desde que haja um processo aberto em tramitação no Sistema e-MEC."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),"Foi aberto um processo para reconhecimento/renovação de reconhecimento do meu curso, o que fazer?","Primeiro não se desespere! A CAEG entrará em contato com o coordenador do curso e informará sobre o trâmite do processo de avaliação e criará um perfil no e-MEC para que o coordenador possa preencher o Formulário Eletrônico (FE 1). O coordenador deverá preencher o Formulário, com informações baseadas no PPC atual do curso. Por este motivo é IMPRESCINDÍVEL que o curso esteja com o PPC atualizado. Nesse momento deverão ser preenchidas as seguintes informações:
 
I - Perfil do cursoII - Atividades do curso (atividades complementares)III - Perfil do egressoIV - Forma de acesso ao egressoV - Representação gráfica de um perfil de formação (estrutura curricular)VI - Sistema de avaliação do projeto do curso VII - Trabalho de Conclusão de Curso (TCC)VIII - Estágio curricularIX - Ato autorizativo anterior ou ato de criação do curso"
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Quais são as fases do processo de avaliação e o que devo fazer em cada uma dessas fases?,"• O processo de preenchimento do Formulário Eletrônico é dividido em duas fases. Para saber mais sobre cada uma dessas fases consulte os seguintes documentos: 1) Orientações preenchimento do e-MEC da fase 1 (FE-1);2) Orientações para preenchimento do e-MEC fase 2 (FE-2);
 

Após as duas fases do preenchimento do Formulário Eletrônico, organize os documentos comprobatórios dos FE-1 e FE-2 e se prepare para receber os avaliadores."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Quais documentos preciso no momento do preenchimento do Formulário Eletrônico 1 (FE-1) e do Formulário Eletrônico 2 (FE-2) e no momento da visita in loco (fase 3).,"I - FE-1: informações básicas do PPC (atualizado); informações sobre o Corpo Docente (produção e titulação); dados sobre os componentes curriculares (deverão ser cadastrados todos os componentes obrigatórios e tantos optativos necessários para completar a carga horária mínima estabelecida pelas DCNs do curso). Ver item d. II - FE-2: PPC (atualizado) e informações descritas no FE-1 (nesse momento, o curso deverá preencher um formulário com todos os 58 itens do “Instrumento de Avaliação de Cursos de Graduação Presencial e a Distância – Reconhecimento e Renovação de Reconhecimento”).  III - Visita in loco: comprovar tudo que foi preenchido no FE-1 e FE-2."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Quem são os avaliadores que farão a visita in loco?,"São professores da área de avaliação e/ou áreas correlatas, que atuam ou possuem formação na área. Podem ser de IES públicas e/ou privadas, de esferas municipais, estaduais e federais."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Como é feito o contato com o avaliador?,"O contato é feito pelo avaliador presidente da Comissão instituída para a visita in loco com o coordenador do curso avaliado e cadastrado no Sistema e-MEC, via e-mail."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),O que deve fazer o coordenador de curso?,"Cabe ao coordenador de curso a responsabilidade de receber e apresentar o curso aos avaliadores, devendo estar disponível e acessível à comissão durante todo o período de efetivo trabalho de avaliação."
Avaliação de Cursos - Perguntas Frequentes Sobre Visitas in Loco (e-MEC),Como é estabelecido o cronograma da visita?,As tratativas referentes ao cronograma da visita são feitas nos contatos feitos pelo coordenador do curso avaliado com o presidente da Comissão avaliadora. Tais tratativas devem ser informadas ao Núcleo de Regulação de Cursos do Ministério da Educação para que seja agendada a reunião com os dirigentes.
