Subject,Question,Answer
Alteração de Estrutura Curricular,Dupla Diplomação O que é? ,"A dupla diplomação consiste na autorização dada ao aluno regular de graduação para iniciar a segunda diplomação, após a conclusão da habilitação de origem."
Alteração de Estrutura Curricular,Dupla Diplomação Quem possui direito de fazer a solicitação?  ,Os requisitos da dupla diplomação estão expressamente previstos no edital semestral do DEG/SAA publicado no site da SAA. A previsão específica para a dupla diplomação ocorre segundo o Art. 8º da Resolução CEPE UnB nº 053/2022. 
Alteração de Estrutura Curricular,Dupla Diplomação Como e onde posso fazer a solicitação?  ,"A solicitação da dupla diplomação deve ser feita em conformidade com as datas e os requisitos do respectivo edital do DEG/SAA, por meio do formulário eletrônico disponibilizado no próprio edital de dupla diplomação. "
Alteração de Estrutura Curricular,Dupla Diplomação Qual o prazo para que eu possa fazer a solicitação?  ,"Os prazos serão fixados pelo edital de dupla diplomação do DEG/SAA e deverão ser, rigorosamente, seguidos pelos discentes pleiteantes."
Alteração de Estrutura Curricular,Dupla Diplomação Como/quando saberei o resultado do pedido?  ,"Os resultados da dupla diplomação serão publicados, eletronicamente, na seção de Graduação > Dupla Diplomação e Mudança de Curso, no site da SAA, conforme os prazos fixados em edital."
Alteração de Estrutura Curricular,Dupla Diplomação Onde posso acompanhar? ,"Todas as publicações referentes às etapas do processo de dupla diplomação ocorrerão através de edital. Portanto, o acompanhamento das etapas processo de dupla diplomação deve ser realizado através seção de Graduação > Dupla Diplomação e Mudança de Curso, no site da SAA."
Alteração de Estrutura Curricular,Mudança de currículo O que é? ,A mudança de estrutura curricular consiste na autorização para que o aluno regular de graduação possa cumprir um currículo mais recente que o vigente à época de seu ingresso na Universidade. Ela será analisada e autorizada pelos Coordenadores de Graduação.
Alteração de Estrutura Curricular,Mudança de currículo Quem possui direito de fazer a solicitação?  ,"Qualquer aluno poderá solicitar, uma única vez, a mudança para currículo mais recente ao vigente à época de seu ingresso na Universidade, conforme aprovação na Ata da 1429ª Reunião da CEG. "
Alteração de Estrutura Curricular,Mudança de currículo Como e onde posso fazer a solicitação?  ,"O procedimento para solicitar a mudança de currículo deverá ser realizado or meio do peticionamento eletrônico, disponível no site https://www.saa.unb.br/sistemas/peticionamento-eletronico."
Alteração de Estrutura Curricular,Mudança de currículo Qual o prazo para que eu possa fazer a solicitação?  ,Em qualquer tempo. 
