Source,Subject,Text
Guia Para Estudantes do CIC 3ed,Sobre,"O Departamento de Ciência da Computação (CIC) foi criado através da Resolução do Conselho Universitário nº 002/87 de 28/05/1987 e, desde então, está vinculado ao Instituto de Ciências Exatas (IE). Atualmente, é composto por 49 docentes, 07 técnicos-administrativos, 02 técnicos em informática e 01 técnico em Eletrônica."
Guia Para Estudantes do CIC 3ed,Sobre,"O CIC está localizado no Campus Universitário Darcy Ribeiro, edifício CIC/EST, próximo ao Pavilhão João Calmon e ao lado do IPOL/IREL. Se estiver no ICC “Minhocão”, ande até a saída norte e caminhe em direção à via L4."
Guia Para Estudantes do CIC 3ed,Sobre,"O CIC tem a missão de contribuir para o avanço do estado da arte e formação de recursos humanos de excelência em Computação, capazes de pesquisar, aplicar e criar novos conhecimentos e tecnologias para promover o bem-estar e desenvolvimento social. É um centro de pesquisa e extensão em Computação, com equipe motivada e coesa, além de visibilidade e infraestrutura adequada para as atividades."
Guia Para Estudantes do CIC 3ed,Sobre,"São oferecidos quatro cursos de graduação, todos no Campus Darcy Ribeiro (Asa Norte): Bacharelado em Computação, Engenharia Mecatrônica, Licenciatura em Computação, Engenharia de Computação."
Guia Para Estudantes do CIC 3ed,Cursos,"Bacharelado em Computação: O objetivo deste curso é formar recursos humanos para desenvolvimento científico e tecnológico da computação e informática, de forma independente, inovadora e atualizada. Quem escolher estudar Computação receberá formação em empreendedorismo, planos de negócios, conhecimento básico de legislações e propriedade intelectual e pode atuar em áreas como implementação de banco de dados, gerenciamento infraestruturas de TI, planejamento ações de suporte e manutenção em sistemas de redes e computadores. Se quiser saber mais, acesse: https://cic.unb.br/bcc

Período: Diurno
Duração: 4 anos e meio
E-mail para contato: bcc.cic@unb.br"
Guia Para Estudantes do CIC 3ed,Cursos,"Licenciatura em Computação: O curso busca formar educadores para o ensino de computação e informática em escolas, educação profissional, qualificação profissional em empresas e educação cooporativa. Para isso, são Licenciatura em Computação oferecidas disciplinas tanto da área de computação, quanto da educação. Se quiser saber mais, acesse: https://cic.unb.br/lic

Período: Noturno
Duração: 4 anos e meio
E-mail para contato: lic.cic@unb.br"
Guia Para Estudantes do CIC 3ed,Cursos,"Engenharia da Computação: O curso abrange, além do CIC, o Instituto de Ciências Exatas (IE) e o Departamento de Engenharia Elétrica da Faculdade de Tecnologia (FT). O objetivo é preparar profissionais para áreas em que os conhecimentos de eletrônica e computação são complementares. O estudante da Engenharia de Computação terá uma formação teórica e prática. Se quiser saber mais, acesse: https://cic.unb.br/ec

Período: Diurno
Duração: 5 anos
E-mail para contato: engcomputacao@unb.br"
Guia Para Estudantes do CIC 3ed,Cursos,"Engenharia Mecatrônica: O curso é uma combinação de Eletrônica, Mecânica e Ciência da Computação. Assim, abrange disciplinas das três áreas, além de matérias específicas da Mecatrônica. O egresso torna-se Engenheiro de Controle e Automação e pode atuar em diversas áreas, lidando com transformações tecnológicas, modernização, automação, softwares, telecomunicações, entre outros campos. Se quiser saber mais, acesse: https://cic.unb.br/em

Período: Diurno
Duração: 5 anos
E-mail para contato: engmecatronica@unb.br"
Guia Para Estudantes do CIC 3ed,Pesquisa,"O CIC desenvolve pesquisas em áreas como análise de dados, computação, inteligência artificial, jogos eletrônicos, robótica, entre outros campos. Para isso, oito laboratórios de pesquisa específica estão à disposição de estudantes do departamento: COMNET, LABID, LAICO, LAFORCE, LARA, LES, LISA e TRANSLAB."
Guia Para Estudantes do CIC 3ed,Atividades complementares,"Além do ensino formal, o estudante do CIC deve considerar atividades complementares, como programas de extensão. Dessa forma, o ensino oferecerá uma formação profissional ampla e diversa. Atualmente, o Departamento conta com nove projetos de extensão.
"
Guia Para Estudantes do CIC 3ed,Aproveitamento dos estudos,O aluno poderá solicitar o Aproveitamento de Estudos em até 2 anos da data de ingresso na UnB. Esta solicitação deverá ser feita uma única vez.
Guia Para Estudantes do CIC 3ed,Aproveitamento dos estudos,"Para realizar o aproveitamento dos estudos:

1. Entrar no Sistema Eletrônico de Informações (SEI)
2. Iniciar novo processo (peticionamento)
3. Escolher o tipo de processo
4. Formulário de peticionamento
5. Formulário de solicitação
6. Verificar o código de opção de curso
7. Incluir documentação comprobatória
8. Inserir especificação do documento
9. Concluir peticionamento
10. Consultar recibo e acompanhamento de processo

Em caso de Revisão, Recurso ou Adaptação de Estudos, consultar procedimento no Manual de Aproveitamento do Estudos de Outras Instituições de Ensino Superior.

Sobre o Manual de Peticionamento Eletrônico: ele é utilizado para reconhecer os créditos de disciplinas cursadas anteriormente em outra Instituição de Ensino Superior (IES)."
