Date,Title,Summary,Text,Link
 15 de Dezembro de 2023,"Profa. Carla Castanho ganha prêmio por ""Práticas interdisciplinares / Integração Ensino-Pesquisa-Extensão""","Os docentes Carla Denise Castanho, Tiago Barros Pontes e Silva e Mario Lima Brasil conquistaram o Prêmio Anual de Inovação no Ensino de Graduação da Universidade de Brasília em 2023 na Categoria ""Práticas interdisciplinares / Integração Ensino-Pesquisa-Extensão"" com a ação “Criação das Disciplinas de Desenvolvimento de Jogos da UnB”. Foram mais de 70 ações concorrendo!","Profa. Carla Castanho ganha prêmio por ""Práticas interdisciplinares / Integração Ensino-Pesquisa-Extensão""					

Os docentes Carla Denise Castanho, Tiago Barros Pontes e Silva e Mario Lima Brasil conquistaram o Prêmio Anual de Inovação no Ensino de Graduação da Universidade de Brasília em 2023 na Categoria ""Práticas interdisciplinares / Integração Ensino-Pesquisa-Extensão"" com a ação “Criação das Disciplinas de Desenvolvimento de Jogos da UnB”. Foram mais de 70 ações concorrendo!





					15/12/2023",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/160-profa-carla-castanho-ganha-premio-por-praticas-interdisciplinares-integracao-ensino-pesquisa-extensao
 02 de Outubro de 2023,Artigo destaque no 37º Simpósio Brasileiro de Engenharia de Software,"A Profa Edna Dias Canedo recebeu o distinguished paper do XXXVII Simpósio Brasileiro de Engenharia de Software (SBES 2023) pelo artigo: Do you see what happens around you? Men's Perceptions of Gender Inequality in Software Engineering.
Profissionais homens predominam nas equipes de desenvolvimento de software em detrimento das mulheres e este trabalho investiga as percepções masculinas sobre a desigualdade de gênero e suas experiências comparadas às mulheres no desenvolvimento de software. Também fornece sugestões para aumentar a participação feminina em projetos.","Artigo destaque no 37º Simpósio Brasileiro de Engenharia de Software					

A Profa Edna Dias Canedo recebeu o distinguished paper do XXXVII Simpósio Brasileiro de Engenharia de Software (SBES 2023) pelo artigo: Do you see what happens around you? Men's Perceptions of Gender Inequality in Software Engineering.
Profissionais homens predominam nas equipes de desenvolvimento de software em detrimento das mulheres e este trabalho investiga as percepções masculinas sobre a desigualdade de gênero e suas experiências comparadas às mulheres no desenvolvimento de software. Também fornece sugestões para aumentar a participação feminina em projetos.





					02/10/2023				






Palavras-chave



						SBES",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/156-artigo-destaque-no-37-simposio-brasileiro-de-engenharia-de-software
 25 de Setembro de 2023,Artigo de aluno do PPGI é premiado como melhor trabalho da 16th Conference on Intelligent Computer Mathematics,"O artigo ""Nominal C-matching"" recebeu o ""Best Paper Prize"" no CICM 2023, ""16th Conference on Intelligent Computer Mathematics"", realizado em Cambridge, em setembro de 2023, com dois autores do PPG em Informática: o aluno Gabriel Ferreira Silva e o Prof. Mauricio Ayala-Rincón.
 
O trabalho, apresenta uma formalização em PVS, resultado de cooperação entre professores do PPG MAT e do PPG INF, e pesquisadores no Imperial College London, King's College London, e RISC/Johannes Kepler University Linz. A formalização do Gabriel está construída sobre uma trama de formalizações computacionais desenvolvida por mais de uma década, que inclui participação de outros doutores egressos de nosso PPG em Informática.","Artigo de aluno do PPGI é premiado como melhor trabalho da 16th Conference on Intelligent Computer Mathematics					

O artigo ""Nominal C-matching"" recebeu o ""Best Paper Prize"" no CICM 2023, ""16th Conference on Intelligent Computer Mathematics"", realizado em Cambridge, em setembro de 2023, com dois autores do PPG em Informática: o aluno Gabriel Ferreira Silva e o Prof. Mauricio Ayala-Rincón.
 
O trabalho, apresenta uma formalização em PVS, resultado de cooperação entre professores do PPG MAT e do PPG INF, e pesquisadores no Imperial College London, King's College London, e RISC/Johannes Kepler University Linz. A formalização do Gabriel está construída sobre uma trama de formalizações computacionais desenvolvida por mais de uma década, que inclui participação de outros doutores egressos de nosso PPG em Informática.





					25/09/2023				






Palavras-chave



						PPGI",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/155-artigo-de-aluno-do-ppgi-e-premiado-como-melhor-trabalho-da-16th-conference-on-intelligent-computer-mathematics
 06 de Agosto de 2023,UnB sediará a escola de verão internacional RoME (Robotic Mission Engineering - A Software Engineering for Robotics Summer School),"A UnB sediará a escola de verão internacional RoME (Robotic Mission Engineering - A Software Engineering for Robotics Summer School) entre os dias 20 a 23 de Fevereiro de 2024. A proposta liderada pela Profa. Genaína Nunes Rodrigues (IE/CIC) para realizar o evento foi selecionada pela ACM (Association for Computing Machinery) e receberá auxílio financeiro da entidade. A escola de verão RoME teve sua primeira edição em 2023. Em 2024, o evento receberá pesquisadores de grande renome internacional em Engenharia de Software como Sebastian Uchitel (Universidad de Buenos Aires - AR), Patrizio Pellicione (GSSI - IT) e, remotamente, Radu Calinescu (University of York, ING). Além disso, o evento contará com parceria de colegas da Universidade Estadual do Ceará. Outro ponto importante é que contará também com a participação de alunos de pós-graduação da Argentina e do Ceará para participarem da segunda edição do RoME. Com foco em estudantes de graduação em estágio inicial de pesquisa quanto alunos de mestrado e doutorado , a escola de verão RoME visa promover a educação, o crescimento acadêmico e alavancar o acesso ao aprendizado e às pesquisas voltadas à engenharia de missões robóticas por meio de abordagens sistemáticas de Engenharia de Software.
  


 
#UnB #RoME #EngenhariaDeSoftware #Robótica #Inovação #Tecnologia","UnB sediará a escola de verão internacional RoME (Robotic Mission Engineering - A Software Engineering for Robotics Summer School)					

A UnB sediará a escola de verão internacional RoME (Robotic Mission Engineering - A Software Engineering for Robotics Summer School) entre os dias 20 a 23 de Fevereiro de 2024. A proposta liderada pela Profa. Genaína Nunes Rodrigues (IE/CIC) para realizar o evento foi selecionada pela ACM (Association for Computing Machinery) e receberá auxílio financeiro da entidade. A escola de verão RoME teve sua primeira edição em 2023. Em 2024, o evento receberá pesquisadores de grande renome internacional em Engenharia de Software como Sebastian Uchitel (Universidad de Buenos Aires - AR), Patrizio Pellicione (GSSI - IT) e, remotamente, Radu Calinescu (University of York, ING). Além disso, o evento contará com parceria de colegas da Universidade Estadual do Ceará. Outro ponto importante é que contará também com a participação de alunos de pós-graduação da Argentina e do Ceará para participarem da segunda edição do RoME. Com foco em estudantes de graduação em estágio inicial de pesquisa quanto alunos de mestrado e doutorado , a escola de verão RoME visa promover a educação, o crescimento acadêmico e alavancar o acesso ao aprendizado e às pesquisas voltadas à engenharia de missões robóticas por meio de abordagens sistemáticas de Engenharia de Software.
  


 
#UnB #RoME #EngenhariaDeSoftware #Robótica #Inovação #Tecnologia





					06/08/2023",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/154-unb-sediara-a-escola-de-verao-internacional-rome-robotic-mission-engineering-a-software-engineering-for-robotics-summer-school
 04 de Agosto de 2023,O CIC esteve representado nos palestrantes convidados do UNIF 2023: The 37th International Workshop on Unification is a satellite event of CADE/FSCD 2023,"Palestrantes convidados do UNIF 2023 (The 37th International Workshop on Unification is a satellite event of CADE/FSCD 2023):
- Mauricio Ayala-Rincón (Universidade de Brasília - Brasil)
- Deepak Kapur (University of New Mexico - USA)
Foram apresentados resultados em formalização de raciocínio equacional obtidos na última década por membros do Grupo de Teoria da Computação da UnB, que envolvem participação de alunos e ex-alunos de Mestrado e Doutorado do PPG Informática e do PPG Matemática.
Material disponível em: https://project.inria.fr/unif2023/program/
 
#unb #cic #ppginfo","O CIC esteve representado nos palestrantes convidados do UNIF 2023: The 37th International Workshop on Unification is a satellite event of CADE/FSCD 2023					

Palestrantes convidados do UNIF 2023 (The 37th International Workshop on Unification is a satellite event of CADE/FSCD 2023):
- Mauricio Ayala-Rincón (Universidade de Brasília - Brasil)
- Deepak Kapur (University of New Mexico - USA)
Foram apresentados resultados em formalização de raciocínio equacional obtidos na última década por membros do Grupo de Teoria da Computação da UnB, que envolvem participação de alunos e ex-alunos de Mestrado e Doutorado do PPG Informática e do PPG Matemática.
Material disponível em: https://project.inria.fr/unif2023/program/
 
#unb #cic #ppginfo





					03/08/2023",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/153-o-cic-esteve-representado-nos-palestrantes-convidados-do-unif-2023-the-37th-international-workshop-on-unification-is-a-satellite-event-of-cade-fscd-2023
,"CIC representado entre os palestrantes convidados da 24th International Conference on Logic for Programming, Artificial Intelligence and Reasoning - LPAR 2023","O CIC esteve representado entre os palestrantes convidados de LPAR 2023:
- Konstantin Korovin (University of Manchester - Reino Unido);
- Mauricio Ayala-Rincón (Universidade de Brasília - Brasil);
- Marijn Heule (Carnegie Mellon University - USA);
- Roderick Bloem (Graz University of Technology - Áustria).
 
Foram apresentados resultados relacionados com formalização algébrica no assistente de demonstração PVS. Material disponível nos anais do evento: https://easychair.org/smart-program/LPAR2023/index.html
 
#unb #cic #ppginfo","CIC representado entre os palestrantes convidados da 24th International Conference on Logic for Programming, Artificial Intelligence and Reasoning - LPAR 2023					

O CIC esteve representado entre os palestrantes convidados de LPAR 2023:
- Konstantin Korovin (University of Manchester - Reino Unido);
- Mauricio Ayala-Rincón (Universidade de Brasília - Brasil);
- Marijn Heule (Carnegie Mellon University - USA);
- Roderick Bloem (Graz University of Technology - Áustria).
 
Foram apresentados resultados relacionados com formalização algébrica no assistente de demonstração PVS. Material disponível nos anais do evento: https://easychair.org/smart-program/LPAR2023/index.html
 
#unb #cic #ppginfo





					03/08/2023",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/152-palestrantes-convidados-24th-international-conference-on-logic-for-programming-artificial-intelligence-and-reasoning-lpar-2023
 25 de Julho de 2023,"O CIC na 7ª Reunião do Grupo de Trabalho sobre TICs e HPC do BRICS, Xangai, China","Nos dias 09 e 10 de julho de 2023, foi realizada a 7a. Reunião do Grupo de Trabalho em ICT-HPC (Information and Communication Technologies – High Performance Computing) do BRICS (Brazil, Russia, India, China e South Africa), no hotel Courtyard Marriott, em Xangai, China. Como Membros da Delegação Brasileira, participaram o Prof. Fábio Borges (Laboratório Nacional de Computação Científica – LNCC) e a Prof. Alba Cristina Magalhães Alves de Melo (Professora Titular do CIC), sob a coordenação do Prof. Borges. Durante uma reunião bastante produtiva foram discutidos e priorizados temas de interesse dos países integrantes, nas áreas de TIC e HPC.","O CIC na 7ª Reunião do Grupo de Trabalho sobre TICs e HPC do BRICS, Xangai, China					

Nos dias 09 e 10 de julho de 2023, foi realizada a 7a. Reunião do Grupo de Trabalho em ICT-HPC (Information and Communication Technologies – High Performance Computing) do BRICS (Brazil, Russia, India, China e South Africa), no hotel Courtyard Marriott, em Xangai, China. Como Membros da Delegação Brasileira, participaram o Prof. Fábio Borges (Laboratório Nacional de Computação Científica – LNCC) e a Prof. Alba Cristina Magalhães Alves de Melo (Professora Titular do CIC), sob a coordenação do Prof. Borges. Durante uma reunião bastante produtiva foram discutidos e priorizados temas de interesse dos países integrantes, nas áreas de TIC e HPC.
 







					25/07/2023",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/150-o-cic-na-7-reuniao-do-grupo-de-trabalho-sobre-tics-e-hpc-do-brics-xangai-china
,PPGI - Homologação do Resultado Edital 01/2023,O resultado da avaliação das candidaturas ao Edital 01/2023 do Programa de Pós-Graduação em Informática é tornada pública neste link.,"PPGI - Homologação do Resultado Edital 01/2023					

O resultado da avaliação das candidaturas ao Edital 01/2023 do Programa de Pós-Graduação em Informática é tornada pública neste link.





					25/07/2023",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/151-ppgi-homologacao-do-resultado-edital-01-2023
 14 de Junho de 2023,1º lugar no Concurso de TCC em Sistemas de Informação no SBSI  2023,"O trabalho do aluno Lucas Dalle Rocha, orientado pela professora Edna Dias Canedo, ganhou o 1º lugar no Concurso de Trabalho de Conclusão de Curso em Sistemas de Informação no XIX Simpósio Brasileiro de Sistemas de Informação 2023.","1º lugar no Concurso de TCC em Sistemas de Informação no SBSI  2023					

O trabalho do aluno Lucas Dalle Rocha, orientado pela professora Edna Dias Canedo, ganhou o 1º lugar no Concurso de Trabalho de Conclusão de Curso em Sistemas de Informação no XIX Simpósio Brasileiro de Sistemas de Informação 2023.
 






					14/06/2023",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/148-1-lugar-no-concurso-de-tcc-em-sistemas-de-informacao-no-sbsi-2023
 25 de Novembro de 2022,A professora Edna Dias Canedo recebeu o Top Reviewer Award 2021 do Information and Software Technology Journal,"A professora Edna Dias Canedo recebeu o Top Reviewer Award 2021 do Information and Software Technology Journal
 
                                               
 
A secretária do Departamento de Ciência da Computação parabeniza a Profa. Edna Canedo pela conquista!","A professora Edna Dias Canedo recebeu o Top Reviewer Award 2021 do Information and Software Technology Journal					

A professora Edna Dias Canedo recebeu o Top Reviewer Award 2021 do Information and Software Technology Journal
 
                                               
 
A secretária do Departamento de Ciência da Computação parabeniza a Profa. Edna Canedo pela conquista!
 





					25/11/2022",https://www.cic.unb.br/informacoes/noticias/informacoes/noticias/132-a-professora-edna-dias-canedo-recebeu-o-top-reviewer-award-2021-do-information-and-software-technology-journal
